model,single_turn_base_bertscore,single_turn_base_bleurt,single_turn_base_ppl,single_turn_ft_bertscore,single_turn_ft_bleurt,single_turn_ft_ppl
Llama 3B,0.8278632164001465,0.3374593124991685,100.5963801676254,0.8540571331977844,0.393199785046242,11.208349109469864
LiquidAI 1.2B,0.755679726600647,0.3227292798908811,409.5935483595944,0.836514949798584,0.3727164435289313,9.394558279129289
Qwen 3B,0.8405411839485168,0.3735993018551687,62.922394329780225,0.8456551432609558,0.3841574162843838,10.370097915082402
OLMo 7B,0.8126145005226135,0.2851799291245003,11.077068087179695,0.7978493571281433,0.2293529887707089,8.996141863826319
