model,ref_base_bertscore,ref_base_bleurt,ref_base_degradation,ref_base_collapse,ref_ft_bertscore,ref_ft_bleurt,ref_ft_degradation,ref_ft_collapse
Llama 3B,0.8228936791419983,0.35717776733979906,0.008332833387912908,0.0,0.8642601370811462,0.3766467620035727,0.012530889113744115,0.0
LiquidAI 1.2B,0.7554462552070618,0.29815982635083954,0.0640382591315678,0.16,0.8547614812850952,0.3662799008244233,0.03252892115177253,0.02
Qwen 3B,0.8387138843536377,0.35243557329229314,0.01631029841227416,0.0,0.8577291369438171,0.34661954512699045,0.0065420335378402195,0.02
OLMo 7B,0.8187892436981201,0.30245947409019197,0.005169524901952549,0.0,0.7992876768112183,0.21845234826426296,0.003718468208570802,0.1
