model_dir,model,single_turn_base_bertscore,single_turn_base_bleurt,single_turn_base_ppl,single_turn_ft_bertscore,single_turn_ft_bleurt,single_turn_ft_ppl,ref_ft_bertscore,ref_ft_bleurt,ref_ft_degradation,ref_ft_collapse,ref_base_bertscore,ref_base_bleurt,ref_base_degradation,ref_base_collapse,prompt_zero_shot_bertscore,prompt_zero_shot_bleurt,prompt_few_shot_bertscore,prompt_few_shot_bleurt,sweep_best_alpha,sweep_best_lr,sweep_best_bertscore,sweep_best_bleurt,sweep_best_ppl,single_turn_ft_minus_base_bleurt,rollout_ft_minus_base_bleurt,rollout_ft_minus_base_bertscore,prompt_few_shot_minus_zero_shot_bleurt
meta-llama-Llama-3.2-3B-Instruct,Llama 3B,0.8278632164001465,0.3374593124991685,100.5963801676254,0.8540571331977844,0.393199785046242,11.208349109469864,0.8642601370811462,0.3766467620035727,0.012530889113744115,0.0,0.8228936791419983,0.35717776733979906,0.008332833387912908,0.0,0.833240270614624,0.3362694798596203,0.8298652768135071,0.3399221611022949,,,,,,0.05574047254707348,0.019468994663773664,0.04136645793914795,0.0036526812426745936
LiquidAI-LFM2.5-1.2B-Instruct,LiquidAI 1.2B,0.755679726600647,0.3227292798908811,409.5935483595944,0.836514949798584,0.3727164435289313,9.394558279129289,0.8547614812850952,0.3662799008244233,0.03252892115177253,0.02,0.7554462552070618,0.29815982635083954,0.0640382591315678,0.16,0.8334628939628601,0.3692739046737551,0.8122382164001465,0.3849690906330943,,,,,,0.04998716363805017,0.06812007447358376,0.09931522607803345,0.01569518595933922
Qwen-Qwen2.5-3B-Instruct,Qwen 3B,0.8405411839485168,0.3735993018551687,62.922394329780225,0.8456551432609558,0.3841574162843838,10.370097915082402,0.8577291369438171,0.34661954512699045,0.0065420335378402195,0.02,0.8387138843536377,0.35243557329229314,0.01631029841227416,0.0,0.8320786952972412,0.3672047595120966,0.8256996870040894,0.3626843735575676,,,,,,0.010558114429215115,-0.005816028165302689,0.019015252590179443,-0.0045203859545289715
allenai-OLMo-3-7B-Instruct,OLMo 7B,0.8126145005226135,0.2851799291245003,11.077068087179695,0.7978493571281433,0.2293529887707089,8.996141863826319,0.7992876768112183,0.21845234826426296,0.003718468208570802,0.1,0.8187892436981201,0.30245947409019197,0.005169524901952549,0.0,0.839917778968811,0.3912238993868231,0.828108549118042,0.3799653112888336,64.0,0.0002,0.8111534118652344,0.2447465717156029,8.891981423259795,-0.055826940353791404,-0.08400712582592901,-0.019501566886901855,-0.01125858809798952
